,distance,width,movement_time
4880,120,6,800
2009,40,8,575
227,160,14,726
1607,60,10,602
5239,160,8,849
2075,120,14,886
2180,40,18,319
3773,75,20,712
1268,210,14,778
3909,60,8,527
1416,210,18,824
1053,40,10,649
1100,210,10,1073
1589,120,20,649
2892,160,8,993
138,75,8,640
3652,40,18,528
5996,160,8,807
3547,120,6,1000
2260,210,8,871
3075,210,20,819
3059,75,14,741
2073,120,14,967
4852,60,6,730
5257,60,6,630
5985,40,18,496
5344,75,6,625
3490,60,8,479
4699,60,8,633
2555,160,18,806
1062,75,18,660
5238,160,8,720
3200,60,10,800
1625,75,8,515
2624,75,8,708
2658,40,18,394
2369,210,20,892
3691,60,18,585
2012,40,8,488
363,210,10,896
2454,60,14,624
3683,40,20,645
4214,75,18,384
5574,75,6,613
960,60,10,610
3620,60,6,782
5863,40,20,528
2514,60,18,553
4553,160,10,814
2495,60,10,631
293,60,10,858
371,120,14,714
4142,40,14,398
1058,75,18,574
4689,60,18,544
1451,120,20,624
1605,60,10,410
3851,210,14,965
1498,75,20,480
4506,160,20,647
5995,160,8,1008
962,60,10,597
2825,40,8,735
5114,210,6,864
4675,75,18,601
3023,75,10,834
4868,160,18,826
49,75,20,726
1963,75,14,688
2966,60,8,659
4302,60,18,568
4889,40,14,420
4718,40,18,633
3816,160,10,811
2577,120,8,944
1551,210,18,687
3118,120,14,855
910,40,20,632
1920,210,20,1187
3904,60,8,512
1543,210,18,648
2112,210,10,1127
158,60,6,688
3576,40,6,845
35,210,20,848
5473,60,6,534
3121,120,10,989
3241,40,6,752
446,60,8,815
3243,40,6,849
3759,75,10,712
228,60,20,480
579,75,6,801
5301,210,20,627
781,120,18,778
391,210,10,1008
1511,160,8,1320
1496,210,8,802
973,60,6,849
4478,40,14,361
3266,60,6,556
43,210,20,824
2045,210,14,1303
1771,60,14,482
2818,210,18,898
2799,60,14,575
5864,40,20,462
3429,160,10,1384
1281,40,8,759
1740,75,6,658
1051,40,10,727
4698,60,8,656
5897,120,20,624
3294,160,8,870
5750,40,8,363
469,120,10,774
2065,60,6,551
2447,75,18,559
4463,75,20,421
499,160,8,1027
22,160,10,1030
2142,60,20,418
4667,160,6,960
647,40,14,650
666,160,20,874
4703,120,8,754
1067,160,18,885
5104,60,8,430
1676,160,10,642
3150,75,20,376
2888,160,8,1039
4631,60,10,791
2586,40,6,557
2578,120,8,839
2742,160,6,1093
4757,75,8,647
4676,75,18,560
4126,75,20,533
1170,75,14,662
1932,75,20,425
3765,75,10,584
1246,160,20,657
1688,40,10,491
5777,60,8,538
4308,60,14,641
4959,160,14,632
4860,60,6,646
5149,210,8,808
3518,160,8,1497
857,160,10,1024
3454,75,14,554
3612,40,10,583
735,60,20,561
2674,210,6,952
1902,75,10,489
1129,75,14,624
3926,160,6,929
2161,40,14,416
1311,210,20,784
5012,120,6,840
4057,75,10,688
1323,60,8,583
3608,75,6,1055
863,160,10,1151
576,75,6,1007
2682,75,20,494
5700,40,20,250
3204,60,18,529
3556,210,10,1517
1296,120,18,750
1922,210,20,1144
4120,120,14,537
2710,60,8,601
1610,60,10,455
4633,60,10,742
2739,210,8,1345
4133,75,20,455
5572,75,6,480
5411,160,10,936
924,40,6,585
1877,160,14,639
279,210,18,720
3870,160,20,624
3582,60,20,575
5442,160,18,641
439,40,6,793
4027,120,20,618
6003,120,8,897
722,75,10,1041
6006,120,8,823
5950,210,10,1055
5521,120,20,527
1258,75,8,736
239,160,6,870
695,60,18,796
3327,210,8,1657
3079,60,18,782
1322,60,8,616
5801,120,14,739
3729,60,14,545
4138,40,14,360
3740,160,20,767
5822,210,8,1090
3880,210,6,801
4080,210,20,696
4983,160,10,650
3411,160,18,735
712,40,10,720
2366,210,14,911
2816,210,18,930
1264,210,14,889
3363,60,14,999
1849,60,8,497
2605,60,20,517
5117,210,6,806
2529,160,6,1168
3316,210,14,772
4611,60,6,584
2467,210,18,807
860,160,10,1000
2876,120,8,849
434,40,6,749
3703,120,20,740
247,160,6,886
4451,160,6,857
972,60,6,560
3760,75,10,680
4655,210,8,792
5078,60,10,511
286,40,10,480
2456,60,14,587
1377,160,10,753
1221,120,8,675
4788,75,14,512
1190,60,20,533
183,160,8,1041
792,60,14,560
3834,120,14,616
1967,75,14,735
3583,60,20,641
5434,60,10,526
878,120,8,894
1743,75,6,553
54,75,20,778
4641,120,18,674
3662,210,6,1215
1685,160,10,714
1287,40,8,567
5459,210,14,586
4551,160,10,994
5819,210,8,1394
3587,60,20,623
308,40,18,368
4989,160,10,618
3806,40,14,497
2282,40,6,787
4632,60,10,770
6099,60,14,496
1126,75,14,769
179,40,6,697
1647,210,14,763
3393,120,20,576
5646,60,20,280
6041,75,8,566
6011,120,18,767
2318,120,8,711
759,40,8,699
693,60,18,904
155,60,6,760
3991,40,8,519
3830,120,14,726
5862,40,20,600
3524,210,20,840
5565,75,6,442
4724,40,10,546
4468,75,20,448
4986,160,10,646
5174,40,10,383
3098,75,18,634
3419,120,18,624
5922,40,8,703
5163,60,18,458
5445,160,18,553
1906,75,20,382
5541,40,10,442
6039,75,8,1121
6147,60,18,838
4265,75,18,536
3838,160,18,962
547,120,14,791
5184,75,10,439
5486,75,8,502
209,210,6,824
6160,160,10,802
1506,75,20,478
1501,75,20,496
1547,210,18,625
4029,120,20,568
3088,75,18,554
5440,60,10,472
1739,75,6,550
4276,40,18,502
476,120,20,967
3135,40,8,598
700,60,18,609
4496,160,8,1050
5811,40,14,554
1419,210,18,767
3846,160,18,732
5476,60,6,518
556,160,6,1598
1723,40,8,481
2879,120,8,893
4362,210,14,955
5551,120,8,643
4818,210,14,736
1034,75,8,967
57,120,8,857
1018,160,6,951
3451,40,14,397
4449,160,6,1006
4495,160,8,1029
4623,40,10,520
2496,60,10,553
5590,160,14,506
1696,160,18,624
1612,60,10,551
1797,120,14,477
4344,120,6,856
2159,40,14,462
4722,40,10,552
984,210,8,887
2286,40,6,616
5159,60,18,390
4586,40,6,512
4921,210,6,968
2621,40,20,379
1016,160,6,1296
5002,120,6,1057
3694,60,18,633
3069,210,20,816
4359,210,14,792
5157,60,18,530
3265,60,6,720
1106,210,10,953
3472,120,6,966
2206,60,10,512
4993,40,6,616
1974,160,10,1073
2806,40,6,877
1677,160,10,655
4114,40,20,369
3364,60,14,736
46,75,20,912
1668,210,20,721
1930,75,20,504
1868,120,6,744
1552,120,10,549
2809,40,6,784
5036,160,20,654
1763,60,14,329
4446,160,6,1167
4150,120,8,888
6134,210,20,937
620,210,18,944
523,75,14,788
2477,40,10,478
5991,160,8,952
6137,210,20,744
205,210,6,1056
1701,160,18,533
5622,60,14,373
5515,120,20,482
4879,120,6,776
4106,40,20,395
1711,40,14,400
942,75,10,712
1414,210,18,949
5274,120,8,736
6108,40,10,569
4949,40,20,400
1623,160,20,786
4741,120,14,718
546,120,14,784
813,160,14,891
3949,160,10,703
5807,120,14,872
933,75,20,608
3175,40,10,345
4157,120,8,710
3982,210,14,1023
4190,60,10,537
98,75,6,817
1378,160,10,816
5980,40,18,498
1454,120,20,707
3685,40,20,845
2540,120,18,758
495,160,8,1162
3390,120,20,698
4527,75,8,967
5941,120,10,1080
4396,40,8,676
4626,40,10,518
5971,75,6,815
1759,40,18,232
1232,75,6,667
74,60,14,600
5021,75,8,753
2983,75,6,768
4702,120,8,782
769,120,10,965
2925,40,18,482
5490,75,8,482
5283,75,14,393
2416,120,20,711
1515,160,8,1001
5319,120,14,423
1222,120,8,783
526,75,14,703
4565,160,18,574
2465,210,18,734
4069,60,14,441
2140,60,20,434
1555,120,10,615
5736,40,18,224
2717,60,8,570
2367,210,14,958
3202,60,10,806
779,120,18,753
39,210,20,841
327,75,18,439
1653,210,14,625
4905,160,20,472
2158,40,14,688
2846,60,6,737
4598,75,14,545
1235,75,6,702
1082,210,20,809
2977,75,6,1042
1998,160,20,840
2234,40,10,450
1413,210,18,781
1853,60,8,474
5376,75,18,433
4982,160,10,896
1171,75,14,538
5517,120,20,486
2101,75,6,569
4254,60,8,554
6169,160,10,944
5479,60,6,456
1959,75,14,936
2488,120,10,960
3155,40,18,381
2034,160,18,687
1958,60,18,392
1312,210,20,816
2121,120,6,1093
3560,40,8,1327
1056,75,18,602
1934,75,20,671
5874,75,10,933
3242,40,6,608
4839,75,6,544
6100,40,10,659
2438,210,10,1129
3714,160,6,1158
5798,120,14,620
1564,120,18,601
4979,210,20,582
492,75,18,790
2772,120,10,845
3964,40,10,507
135,120,18,561
2494,60,10,657
654,210,14,795
1290,40,8,615
3145,75,20,690
1446,120,20,649
1283,40,8,705
2213,60,10,462
5779,60,8,421
1241,160,20,662
6105,40,10,728
4477,40,14,357
433,40,6,920
1368,210,6,904
2384,160,8,905
1014,160,6,825
3345,210,18,760
2129,120,10,984
1916,75,20,467
6094,60,14,600
153,60,6,727
2873,120,14,848
4327,120,14,606
638,210,6,1216
4187,60,10,511
6141,60,18,458
1756,40,18,238
303,40,18,457
5443,160,18,586
4559,75,10,666
2380,160,8,810
3744,160,20,854
2410,120,20,714
749,160,14,910
3432,75,8,626
3055,75,20,720
1875,160,14,628
5840,40,6,703
849,160,8,943
1037,75,8,776
485,75,18,791
1214,60,18,526
3376,160,20,664
732,210,8,1232
3907,60,8,635
5621,60,14,466
4914,75,10,609
3258,210,6,862
3938,75,6,807
2610,60,20,470
4720,40,10,606
2672,210,6,1210
1952,60,18,880
3228,160,14,751
5675,160,20,572
4434,210,20,626
3865,210,10,746
4881,120,6,800
713,40,10,840
3279,120,8,633
4569,160,18,656
494,160,8,846
5453,210,14,672
870,210,18,963
2026,160,14,731
4498,160,8,713
1773,160,8,855
677,40,8,1026
359,210,10,1099
91,60,18,424
3220,160,6,1183
5118,210,6,799
931,75,20,494
1789,60,6,520
3320,210,14,856
5710,210,18,550
1012,160,6,886
5498,75,20,383
683,120,18,843
4648,210,8,1170
2371,210,20,843
5569,75,6,674
3675,75,14,591
3385,160,20,607
117,160,18,744
323,60,8,967
1540,60,20,417
1729,60,18,383
1043,40,10,751
3195,60,10,999
3473,120,6,1073
2995,120,6,929
4683,60,18,482
1747,75,6,642
3417,120,18,518
2650,120,6,982
4573,160,18,633
6010,120,18,803
5782,60,8,454
3863,210,10,712
3531,210,8,1352
266,210,14,861
3530,210,8,1111
1629,75,8,474
267,210,14,801
4413,120,20,577
2188,40,18,369
4064,75,10,623
142,75,8,647
3164,75,6,835
1924,210,20,737
1917,75,20,639
310,40,18,424
1399,160,6,1144
5046,120,10,712
480,120,20,1007
2573,210,8,893
2113,210,10,1086
2221,75,10,569
4713,40,18,464
3801,40,14,442
696,60,18,624
3442,75,8,743
